StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,D1,D2,D3,D3_4_TEXT,D4,1_Q2,1_Q3,1_Q4,1_Q5,1_Q7,1_Q8,1_Q12,1_Q13,2_Q2,2_Q3,2_Q4,2_Q5,2_Q7,2_Q8,2_Q12,2_Q13,3_Q2,3_Q3,3_Q4,3_Q5,3_Q7,3_Q8,3_Q12,3_Q13,4_Q2,4_Q3,4_Q4,4_Q5,4_Q7,4_Q8,4_Q12,4_Q13,SolutionRevision,ProjectCategory,ProjectType
2022-06-25 20:19:50,2022-06-25 20:24:53,IP Address,24.63.203.69,100,302,True,2022-06-25 20:24:54,R_bDTZUGn1QZSQRgJ,,,,,42.3928,-71.5654,anonymous,EN,18-24 years old,Unemployed and looking for work,Female,,Divorced/Separated,Extremely positive,Different,Very appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Extremely likely,$5 - $10,Extremely positive,Different,A little appealing,Like a great deal,Extremely relevant,This would be slightly better than what I am currently using,Extremely likely,$10 - $15,Somewhat positive,Very different,Not very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$15 - $20,Extremely positive,Very different,Very appealing,Like a great deal,Somewhat relevant,I need it because nothing else solves this problem,Somewhat likely,$5 - $10,2,PX,ConceptTesting
2022-06-25 21:39:34,2022-06-25 21:45:17,IP Address,45.159.74.86,100,342,True,2022-06-25 21:45:18,R_2e3cwPq4U4ZU8vu,,,,,40.1817,44.5099,anonymous,EN,18-24 years old,Working full-time,Female,,Never been married,Somewhat positive,Very different,A little appealing,Neither like nor dislike,Neither relevant nor irrelevant,I don't see any reason to use this,,,Extremely positive,Different,Appealing,Like a great deal,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,,Extremely positive,Very different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Somewhat likely,,Somewhat positive,Different,Appealing,Like somewhat,Neither relevant nor irrelevant,I don't see any reason to use this,Somewhat unlikely,,2,PX,ConceptTesting
2022-06-25 21:43:27,2022-06-25 21:46:05,IP Address,104.32.160.233,100,158,True,2022-06-25 21:46:05,R_XFhSyg3GBBDoUyl,,,,,34.0068,-118.256,anonymous,EN,18-24 years old,Working full-time,Male,,Living with a partner,Neither positive nor negative,A little different,A little appealing,Neither like nor dislike,Neither relevant nor irrelevant,This is essentially the same as what I am currently using,Neither likely nor unlikely,$15 - $20,Somewhat positive,A little different,Appealing,Like somewhat,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$20 - $30,Neither positive nor negative,A little different,A little appealing,Neither like nor dislike,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$20 - $30,Somewhat positive,A little different,A little appealing,Neither like nor dislike,Neither relevant nor irrelevant,This is essentially the same as what I am currently using,Somewhat likely,$15 - $20,2,PX,ConceptTesting
2022-06-25 21:53:57,2022-06-25 21:56:46,IP Address,69.14.36.124,100,169,True,2022-06-25 21:56:47,R_2c63w9e8CDNeXVk,,,,,42.6626,-83.1837,anonymous,EN,25-34 years old,Working full-time,Female,,Married,Somewhat positive,A little different,A little appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$30 - $40,Somewhat positive,A little different,A little appealing,Neither like nor dislike,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$30 - $40,Neither positive nor negative,A little different,A little appealing,Like somewhat,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$20 - $30,Somewhat positive,A little different,A little appealing,Neither like nor dislike,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$30 - $40,2,PX,ConceptTesting
2022-06-25 21:57:57,2022-06-25 22:02:01,IP Address,108.78.30.124,100,244,True,2022-06-25 22:02:01,R_2VjT12a3l3p85nb,,,,,42.4723,-82.9967,anonymous,EN,25-34 years old,Working full-time,Female,,Married,Somewhat positive,A little different,A little appealing,Like somewhat,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$20 - $30,Somewhat positive,A little different,A little appealing,Like somewhat,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$30 - $40,Somewhat positive,A little different,A little appealing,Like somewhat,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$15 - $20,Somewhat positive,A little different,A little appealing,Like somewhat,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$30 - $40,2,PX,ConceptTesting
2022-06-25 21:58:11,2022-06-25 22:04:13,IP Address,198.52.10.50,100,362,True,2022-06-25 22:04:13,R_2t9D7tN8ZxrwQ4j,,,,,40.94,-75.8209,anonymous,EN,25-34 years old,Working full-time,Female,,Married,Somewhat positive,A little different,A little appealing,Like somewhat,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$30 - $40,Somewhat positive,A little different,A little appealing,Like somewhat,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$30 - $40,Somewhat positive,A little different,A little appealing,Like somewhat,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$30 - $40,Somewhat positive,A little different,A little appealing,Like somewhat,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$30 - $40,2,PX,ConceptTesting
2022-06-25 21:58:00,2022-06-25 22:06:25,IP Address,192.80.133.191,100,504,True,2022-06-25 22:06:25,R_1Xmp0CybfXmuLip,,,,,42.0285,-85.8008,anonymous,EN,25-34 years old,Working full-time,Male,,Married,Somewhat positive,A little different,A little appealing,Like somewhat,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$30 - $40,Somewhat positive,A little different,A little appealing,Like somewhat,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$30 - $40,Somewhat positive,Different,A little appealing,Like somewhat,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$20 - $30,Somewhat positive,A little different,A little appealing,Like somewhat,Neither relevant nor irrelevant,I need it because nothing else solves this problem,Somewhat likely,$30 - $40,2,PX,ConceptTesting
2022-06-25 21:58:07,2022-06-25 22:09:10,IP Address,107.5.107.227,100,662,True,2022-06-25 22:09:10,R_1MYgDzbA5vk5nXG,,,,,42.6347,-83.7187,anonymous,EN,25-34 years old,Working full-time,Female,,Married,Somewhat positive,A little different,A little appealing,Neither like nor dislike,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$20 - $30,Somewhat positive,A little different,A little appealing,Like somewhat,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$30 - $40,Somewhat positive,A little different,A little appealing,Like somewhat,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$40 - $50,Somewhat positive,A little different,A little appealing,Like somewhat,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$30 - $40,2,PX,ConceptTesting
2022-06-25 22:04:37,2022-06-25 22:09:13,IP Address,46.70.87.115,100,275,True,2022-06-25 22:09:13,R_1C4t7YejCPpBGy9,,,,,40.1817,44.5099,anonymous,EN,35-44 years old,Working full-time,Female,,Never been married,Somewhat positive,Different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$5 - $10,Neither positive nor negative,A little different,A little appealing,Neither like nor dislike,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Neither likely nor unlikely,$5 - $10,Neither positive nor negative,A little different,A little appealing,Neither like nor dislike,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Neither likely nor unlikely,$5 - $10,Neither positive nor negative,A little different,A little appealing,Neither like nor dislike,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$5 - $10,2,PX,ConceptTesting
2022-06-25 21:58:15,2022-06-25 22:11:14,IP Address,69.244.184.132,100,779,True,2022-06-25 22:11:14,R_1MVPzpmoArIPRYQ,,,,,42.3363,-83.1348,anonymous,EN,25-34 years old,Working full-time,Male,,Married,Somewhat positive,A little different,A little appealing,Neither like nor dislike,Neither relevant nor irrelevant,This is essentially the same as what I am currently using,Somewhat likely,$20 - $30,Somewhat positive,A little different,A little appealing,Like somewhat,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$40 - $50,Somewhat positive,A little different,A little appealing,Like somewhat,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$30 - $40,Somewhat positive,A little different,A little appealing,Like somewhat,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$30 - $40,2,PX,ConceptTesting
2022-06-25 22:32:21,2022-06-25 22:51:13,IP Address,162.207.24.24,100,1132,True,2022-06-25 22:51:14,R_1pSWi5OwJ4NVo8W,,,,,39.749,-84.1573,anonymous,EN,25-34 years old,Working full-time,Male,,Married,Extremely positive,Different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$10 - $15,Extremely positive,Different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$5 - $10,Extremely positive,Different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$10 - $15,Extremely positive,Very different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$5 - $10,2,PX,ConceptTesting
2022-06-25 23:22:29,2022-06-25 23:26:08,IP Address,73.34.135.243,100,218,True,2022-06-25 23:26:08,R_2fuL9aOnmo0REAk,,,,,40.1773,-105.1009,anonymous,EN,25-34 years old,Working full-time,Male,,Married,Extremely positive,Very different,Very appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$20 - $30,Neither positive nor negative,A little different,A little appealing,Neither like nor dislike,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$15 - $20,Somewhat positive,Different,Very appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$20 - $30,Extremely positive,Very different,Very appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Extremely likely,$30 - $40,2,PX,ConceptTesting
2022-06-25 23:27:56,2022-06-25 23:30:42,IP Address,73.130.17.247,100,165,True,2022-06-25 23:30:42,R_1OrxdB8rKhpb74b,,,,,40.4761,-76.8949,anonymous,EN,25-34 years old,Working full-time,Male,,Living with a partner,Somewhat positive,Different,Appealing,Like somewhat,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$20 - $30,Somewhat positive,Different,Appealing,Like somewhat,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$20 - $30,Somewhat negative,Not very different,Not very appealing,Dislike somewhat,Somewhat irrelevant,I don't see any reason to use this,Somewhat unlikely,$5 - $10,Somewhat positive,Different,Appealing,Like somewhat,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$20 - $30,2,PX,ConceptTesting
2022-06-25 23:32:56,2022-06-25 23:35:36,IP Address,24.229.46.137,100,160,True,2022-06-25 23:35:37,R_cSnEh2zHSZg84lX,,,,,41.0889,-75.2798,anonymous,EN,25-34 years old,Working full-time,Male,,Married,Neither positive nor negative,A little different,A little appealing,Neither like nor dislike,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$10 - $15,Neither positive nor negative,A little different,A little appealing,Like somewhat,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$10 - $15,Neither positive nor negative,A little different,A little appealing,Neither like nor dislike,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$10 - $15,Neither positive nor negative,A little different,A little appealing,Neither like nor dislike,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$10 - $15,2,PX,ConceptTesting
2022-06-25 23:37:00,2022-06-25 23:40:22,IP Address,72.187.44.193,100,201,True,2022-06-25 23:40:22,R_3DvCx9PUnL45J9Y,,,,,28.0699,-81.8107,anonymous,EN,25-34 years old,Working full-time,Male,,Married,Extremely positive,Very different,Very appealing,Like a great deal,Neither relevant nor irrelevant,I need it because nothing else solves this problem,Extremely likely,$30 - $40,Extremely positive,Very different,Very appealing,Like a great deal,Neither relevant nor irrelevant,I need it because nothing else solves this problem,Extremely likely,$30 - $40,Extremely positive,Very different,Very appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$15 - $20,Extremely positive,Different,Very appealing,Like a great deal,Neither relevant nor irrelevant,I need it because nothing else solves this problem,Extremely likely,$30 - $40,2,PX,ConceptTesting
2022-06-25 23:37:03,2022-06-25 23:40:22,IP Address,23.126.38.104,100,199,True,2022-06-25 23:40:23,R_2X4MPD1qw0Q9ubl,,,,,30.2791,-89.7679,anonymous,EN,25-34 years old,Working full-time,Male,,Living with a partner,Somewhat positive,Different,Appealing,Neither like nor dislike,Somewhat relevant,This is essentially the same as what I am currently using,Somewhat likely,$15 - $20,Neither positive nor negative,Not very different,Not very appealing,Neither like nor dislike,Somewhat relevant,This is essentially the same as what I am currently using,Somewhat likely,$15 - $20,Extremely positive,Very different,A little appealing,Like somewhat,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$40 - $50,Neither positive nor negative,Not very different,A little appealing,Neither like nor dislike,Somewhat relevant,This is essentially the same as what I am currently using,Somewhat likely,$15 - $20,2,PX,ConceptTesting
2022-06-25 23:42:09,2022-06-25 23:45:19,IP Address,70.121.232.31,100,190,True,2022-06-25 23:45:20,R_3kwjfxNs8EjoKM4,,,,,30.1388,-97.2921,anonymous,EN,25-34 years old,Working full-time,Male,,Married,Somewhat positive,Different,Appealing,Like somewhat,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$15 - $20,Neither positive nor negative,A little different,Appealing,Like somewhat,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$15 - $20,Somewhat positive,Different,Appealing,Like somewhat,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$15 - $20,Somewhat positive,Different,Appealing,Neither like nor dislike,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$15 - $20,2,PX,ConceptTesting
2022-06-25 23:42:03,2022-06-25 23:45:20,IP Address,68.84.32.250,100,197,True,2022-06-25 23:45:20,R_2zHI3uqRaBeOiA3,,,,,39.9206,-75.1826,anonymous,EN,25-34 years old,Working full-time,Male,,Married,Neither positive nor negative,Not very different,A little appealing,Neither like nor dislike,Somewhat relevant,This is essentially the same as what I am currently using,Somewhat likely,$10 - $15,Neither positive nor negative,Not very different,Not very appealing,Neither like nor dislike,Somewhat irrelevant,This is essentially the same as what I am currently using,Neither likely nor unlikely,$10 - $15,Somewhat positive,A little different,A little appealing,Like somewhat,Somewhat irrelevant,This is essentially the same as what I am currently using,Somewhat likely,$10 - $15,Neither positive nor negative,Different,A little appealing,Neither like nor dislike,Neither relevant nor irrelevant,This is essentially the same as what I am currently using,Neither likely nor unlikely,$10 - $15,2,PX,ConceptTesting
2022-06-25 23:47:00,2022-06-25 23:50:21,IP Address,184.155.96.141,100,201,True,2022-06-25 23:50:21,R_2TAwTjAy73kdusa,,,,,34.5926,-112.4238,anonymous,EN,25-34 years old,Working full-time,Male,,Living with a partner,Extremely positive,Very different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$30 - $40,Extremely positive,Very different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$30 - $40,Extremely positive,Very different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$30 - $40,Extremely positive,Very different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$30 - $40,2,PX,ConceptTesting
2022-06-25 23:47:03,2022-06-25 23:50:24,IP Address,50.52.23.16,100,200,True,2022-06-25 23:50:24,R_2fH7HnEamBFGr4v,,,,,47.9669,-116.8692,anonymous,EN,25-34 years old,Working full-time,Male,,Living with a partner,Somewhat positive,Different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$20 - $30,Somewhat positive,Different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$20 - $30,Somewhat positive,Different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$20 - $30,Somewhat positive,Different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$20 - $30,2,PX,ConceptTesting
2022-06-25 23:47:08,2022-06-25 23:50:26,IP Address,39.155.141.254,100,197,True,2022-06-25 23:50:26,R_3qO5vtTkRtbKerp,,,,,39.9075,116.3972,anonymous,EN,25-34 years old,Working full-time,Male,,Married,Neither positive nor negative,A little different,A little appealing,Neither like nor dislike,Neither relevant nor irrelevant,This is essentially the same as what I am currently using,Neither likely nor unlikely,$10 - $15,Neither positive nor negative,A little different,A little appealing,Neither like nor dislike,Neither relevant nor irrelevant,This is essentially the same as what I am currently using,Neither likely nor unlikely,$10 - $15,Neither positive nor negative,A little different,A little appealing,Neither like nor dislike,Neither relevant nor irrelevant,This is essentially the same as what I am currently using,Neither likely nor unlikely,$10 - $15,Neither positive nor negative,A little different,A little appealing,Neither like nor dislike,Neither relevant nor irrelevant,This is essentially the same as what I am currently using,Neither likely nor unlikely,$10 - $15,2,PX,ConceptTesting
2022-06-26 00:12:47,2022-06-26 00:15:57,IP Address,203.176.178.162,100,190,True,2022-06-26 00:15:58,R_cvTZh6qEbCpyEXn,,,,,-6.1728,106.8272,anonymous,EN,18-24 years old,Working full-time,Female,,Never been married,Neither positive nor negative,A little different,Not very appealing,Neither like nor dislike,Extremely irrelevant,What I am currently using is better than this,Somewhat unlikely,$5 - $10,Somewhat positive,A little different,Not very appealing,Neither like nor dislike,Somewhat irrelevant,What I am currently using is better than this,Extremely unlikely,$5 - $10,Extremely positive,Very different,Very appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Neither likely nor unlikely,$10 - $15,Somewhat positive,Different,Not very appealing,Neither like nor dislike,Extremely irrelevant,I don't see any reason to use this,Somewhat unlikely,$5 - $10,2,PX,ConceptTesting
2022-06-26 00:14:46,2022-06-26 00:18:11,IP Address,24.111.114.57,100,205,True,2022-06-26 00:18:11,R_2EFbjciQ5t1GUJh,,,,,43.5235,-96.7385,anonymous,EN,25-34 years old,Working full-time,Male,,Married,Somewhat positive,A little different,A little appealing,Like somewhat,Somewhat relevant,I need it because nothing else solves this problem,Somewhat likely,$20 - $30,Neither positive nor negative,A little different,A little appealing,Neither like nor dislike,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Neither likely nor unlikely,$20 - $30,Neither positive nor negative,A little different,A little appealing,Neither like nor dislike,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Neither likely nor unlikely,$20 - $30,Extremely positive,Very different,Appealing,Neither like nor dislike,Somewhat irrelevant,This would be slightly better than what I am currently using,Somewhat unlikely,$10 - $15,2,PX,ConceptTesting
2022-06-26 00:16:30,2022-06-26 00:23:51,IP Address,47.132.40.24,100,440,True,2022-06-26 00:23:51,R_1esXK6PVBDMwpsi,,,,,35.4897,-78.7249,anonymous,EN,25-34 years old,Working full-time,Male,,Widowed,Extremely positive,A little different,Not very appealing,Neither like nor dislike,Neither relevant nor irrelevant,This is essentially the same as what I am currently using,Neither likely nor unlikely,$10 - $15,Neither positive nor negative,Different,A little appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$20 - $30,Somewhat positive,A little different,Not very appealing,Neither like nor dislike,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Neither likely nor unlikely,$15 - $20,Somewhat negative,A little different,A little appealing,Neither like nor dislike,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$20 - $30,2,PX,ConceptTesting
2022-06-26 00:48:07,2022-06-26 00:52:29,IP Address,69.92.255.134,100,261,True,2022-06-26 00:52:29,R_3kgFAzgcs3dZ9Sc,,,,,43.4777,-111.9726,anonymous,EN,25-34 years old,Working full-time,Female,,Living with a partner,Extremely positive,Very different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$15 - $20,Extremely positive,Very different,A little appealing,Like a great deal,Somewhat relevant,I need it because nothing else solves this problem,Extremely likely,$5 - $10,Somewhat positive,A little different,A little appealing,Neither like nor dislike,Somewhat relevant,I need it because nothing else solves this problem,Somewhat likely,$10 - $15,Extremely positive,A little different,A little appealing,Neither like nor dislike,Extremely relevant,I need it because nothing else solves this problem,Somewhat likely,$5 - $10,2,PX,ConceptTesting
2022-06-26 01:05:41,2022-06-26 01:07:56,IP Address,137.97.102.154,100,135,True,2022-06-26 01:07:57,R_2EzUJoAMBty2lfC,,,,,9.9185,76.2558,anonymous,EN,25-34 years old,Unemployed and looking for work,Male,,Never been married,Somewhat positive,Different,Appealing,Like a great deal,Extremely relevant,This would be slightly better than what I am currently using,Somewhat likely,$15 - $20,Somewhat positive,A little different,Not very appealing,Neither like nor dislike,Neither relevant nor irrelevant,This is essentially the same as what I am currently using,Neither likely nor unlikely,$20 - $30,Somewhat positive,A little different,Appealing,Neither like nor dislike,Somewhat irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$15 - $20,Neither positive nor negative,Not very different,Not very appealing,Neither like nor dislike,Neither relevant nor irrelevant,This is essentially the same as what I am currently using,Somewhat unlikely,$20 - $30,2,PX,ConceptTesting
2022-06-26 02:42:42,2022-06-26 02:46:53,IP Address,172.222.11.34,100,250,True,2022-06-26 02:46:54,R_3qUwbEFuTfLDlug,,,,,43.4052,-83.9223,anonymous,EN,18-24 years old,Working full-time,Female,,Living with a partner,Extremely positive,Very different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$40 - $50,Extremely positive,Different,Very appealing,Like a great deal,Somewhat relevant,I need it because nothing else solves this problem,Extremely likely,$30 - $40,Somewhat positive,Very different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$30 - $40,Extremely positive,Very different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$50+,2,PX,ConceptTesting
2022-06-26 02:45:05,2022-06-26 02:47:39,IP Address,100.2.171.105,100,154,True,2022-06-26 02:47:40,R_1OvpkGY1sAuDNhp,,,,,40.6368,-74.0005,anonymous,EN,25-34 years old,Working full-time,Male,,Married,Somewhat positive,Different,Very appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$10 - $15,Somewhat positive,Different,A little appealing,Neither like nor dislike,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Extremely unlikely,$10 - $15,Somewhat positive,Different,Appealing,Neither like nor dislike,Extremely relevant,I need it because nothing else solves this problem,Somewhat likely,$20 - $30,Somewhat positive,A little different,A little appealing,Neither like nor dislike,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$20 - $30,2,PX,ConceptTesting
2022-06-26 06:41:00,2022-06-26 06:46:30,IP Address,76.166.161.44,100,330,True,2022-06-26 06:46:31,R_V1J6sqsFhIIivn3,,,,,34.1253,-118.1112,anonymous,EN,35-44 years old,Working full-time,Male,,Living with a partner,Neither positive nor negative,Not very different,Not very appealing,Neither like nor dislike,Somewhat relevant,What I am currently using is better than this,Somewhat likely,$10 - $15,Neither positive nor negative,A little different,Not very appealing,Neither like nor dislike,Neither relevant nor irrelevant,This is essentially the same as what I am currently using,Neither likely nor unlikely,$10 - $15,Somewhat positive,Different,A little appealing,Neither like nor dislike,Neither relevant nor irrelevant,This is essentially the same as what I am currently using,Neither likely nor unlikely,$10 - $15,Extremely positive,A little different,Very appealing,Like somewhat,Somewhat relevant,This is essentially the same as what I am currently using,Somewhat likely,$10 - $15,2,PX,ConceptTesting
2022-06-26 09:04:52,2022-06-26 09:11:20,IP Address,75.140.5.214,100,388,True,2022-06-26 09:11:21,R_3nqQx1goXS0LzXj,,,,,34.0582,-118.126,anonymous,EN,45-54 years old,Working full-time,Female,,Married,Somewhat positive,Not very different,A little appealing,Like somewhat,Somewhat irrelevant,I don't see any reason to use this,Somewhat unlikely,$20 - $30,Somewhat positive,Not very different,A little appealing,Like somewhat,Somewhat irrelevant,This would be slightly better than what I am currently using,Somewhat unlikely,$20 - $30,Somewhat positive,A little different,A little appealing,Neither like nor dislike,Neither relevant nor irrelevant,I don't see any reason to use this,Somewhat unlikely,$20 - $30,Neither positive nor negative,Not very different,A little appealing,Neither like nor dislike,Neither relevant nor irrelevant,I don't see any reason to use this,Somewhat unlikely,$20 - $30,2,PX,ConceptTesting
2022-06-26 09:31:01,2022-06-26 09:35:49,IP Address,115.69.242.234,100,287,True,2022-06-26 09:35:49,R_1q3B8sryMFgnsci,,,,,19.0748,72.8856,anonymous,EN,25-34 years old,Working full-time,Female,,Married,Somewhat positive,Different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$10 - $15,Somewhat positive,Different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$10 - $15,Extremely positive,Different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$5 - $10,Somewhat positive,Not very different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$10 - $15,2,PX,ConceptTesting
2022-06-26 09:32:07,2022-06-26 09:37:12,IP Address,71.93.167.200,100,304,True,2022-06-26 09:37:12,R_2RRejeSEymdZuMB,,,,,33.7835,-118.1316,anonymous,EN,18-24 years old,Working part-time,Female,,Living with a partner,Extremely positive,Very different,Appealing,Like a great deal,Somewhat relevant,I need it because nothing else solves this problem,Extremely likely,$10 - $15,Somewhat positive,Very different,Appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$10 - $15,Somewhat positive,Very different,Appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Extremely likely,$10 - $15,Somewhat positive,Different,Appealing,Like a great deal,Extremely relevant,This would be slightly better than what I am currently using,Somewhat likely,$10 - $15,2,PX,ConceptTesting
2022-06-26 09:46:23,2022-06-26 09:53:09,IP Address,71.199.127.10,100,405,True,2022-06-26 09:53:09,R_3Du1fXgqAGOh30u,,,,,40.7156,-80.2601,anonymous,EN,18-24 years old,Student,Female,,Never been married,Extremely positive,Different,Very appealing,Like a great deal,Somewhat relevant,I need it because nothing else solves this problem,Extremely likely,$15 - $20,Extremely positive,Different,Very appealing,Like a great deal,Somewhat relevant,I need it because nothing else solves this problem,Extremely likely,$30 - $40,Extremely positive,Very different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$15 - $20,Extremely positive,Different,Very appealing,Like a great deal,Somewhat relevant,I need it because nothing else solves this problem,Extremely likely,$20 - $30,2,PX,ConceptTesting
2022-06-26 09:46:28,2022-06-26 09:57:57,IP Address,172.58.147.243,100,688,True,2022-06-26 09:57:58,R_cZPHwgVvRd7QLMR,,,,,36.1671,-86.7861,anonymous,EN,18-24 years old,Student,Female,,Living with a partner,Extremely positive,Very different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$40 - $50,Extremely positive,Different,Very appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Extremely likely,$50+,Extremely positive,A little different,Very appealing,Like a great deal,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Extremely likely,$20 - $30,Extremely positive,Different,Very appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Extremely likely,$50+,2,PX,ConceptTesting
